name,type,symbol,reco_date,reco_date_price,stock_id
Ajanta Pharma,Timely,AJANTPHARM,08-Dec-17,"1,322.25",6424
Allcargo Logistics,NA,ALLCARGO,08-Jan-18,215.55,16704
Amara Raja Batteries,NA,AMARAJABAT,12-Apr-18,813.00,161
Ashiana Housing,Timely,ASHIANA,27-Oct-17,166.70,296
Bajaj Auto,All Weather,BAJAJ-AUTO,27-Oct-17,"3,283.40",18752
Coromandel International,Timely,COROMANDEL,27-Oct-17,488.00,811
City Union Bank,Latest,CUB,10-Jul-18,176.00,7239
Divi's Laboratories,All Weather,DIVISLAB,27-Oct-17,858.60,7301
HCL Technologies,NA,HCLTECH,27-Oct-17,869.05,6105
Housing Development Finance Corpn.,All Weather,HDFC,09-Feb-18,"1,773.05",1611
HDFC Bank,All Weather,HDFCBANK,13-Nov-17,"1,822.00",1459
Indian Energy Exchange,Latest,IEX,04-Jun-18,"1,54.990",23932
Interglobe Aviation,Timely,INDIGO,13-Nov-17,"1,181.85",23164
Infosys,NA,INFY,08-Jan-18,"1,012.00",1764
ITC,All Weather,ITC,27-Oct-17,268.40,1642
Jagran Prakashan,Latest,JAGRAN,04-Jun-18,160.80,15765
Kaveri Seed Company,NA,KSCL,27-Oct-17,576.70,17700
Larsen & Toubro,All Weather,LT,27-Oct-17,"1,223.50",2192
Natco Pharma,NA,NATCOPHARM,12-Apr-18,776.40,2613
Parag Milk Foods,Latest,PARAGMILK,10-Jul-18,297.95,23372
Petronet LNG,NA,PETRONET,27-Oct-17,258.40,15766
PI Industries,All Weather,PIIND,27-Oct-17,756.75,2806
Power Grid Corporation of India,All Weather,POWERGRID,09-Feb-18,193.20,5191
VST Tillers Tractors,NA,VSTTILLERS,08-Dec-17,"2,104.70",4275
Vardhman Textiles,Timely,VTL,09-Mar-18,"1,316.00",2316
Zee Entertainment Enterprises,All Weather,ZEEL,09-Mar-18,568.50,4505
Finolex Industries,Latest,FINPIPE,06-Aug-18,592.60,1151
Sterlite Technologies,Latest,STRTECH,06-Aug-18,337.60,6541
Essel Propack,Latest,ESSELPACK,10-Sep-18,119.00,1102
Sasken Technologies,Latest,SASKEN,10-Sep-18,"1,007.80",16034
NBCC India,Latest,NBCC,13-Dec-18,55.90,21650
ABB,NA,ABB,23-Nov-18,"1,302.70",292
Maruti Suzuki India,All Weather,MARUTI,23-Nov-18,"7,536.30",6442
HDFC Asset Management Company,All Weather,HDFCAMC,11-Oct-18,"1,525.05",24486
# Jamna Auto Inds.,NA,JAMNAAUTO,11-Oct-18,14-Nov-18,1874
